# Brief candidates for rhe, ranked by savings-weighted value.
#
# value = frequency × (phonemes - 1). Single-phoneme words are
# omitted because a brief chord saves nothing over typing the
# one phoneme directly.
#
# One word per line. Delete any line to exclude that word from
# brief assignment. Lines starting with '#' are ignored. Delete
# the whole file to regenerate from defaults.
#
# Adding a word not in this list is fine — give it its own line
# with any annotations you like, as long as the word is the
# last whitespace-separated token.
#
# Fields: rank  value  phonemes  word
#
  668          189882    4  enjoy
  669          189252    4  crime
  670          188822    2  pay
  671          188769    4  horse
  672          188289    4  count
  673          188265    4  area
  674          188238    4  charge
  675          188208    3  voice
  676          187746    4  lunch
  677          187569    4  miles
  678          186498    4  paper
  679          185805    4  gold
  680          185024    3  sign
  681          183156    4  cover
  682          183146    3  bet
  683          182709    4  star
  684          182148    4  agree
  685          181680    4  major
  686          181644    4  stick
  687          180022    3  less
  688          179979    4  whether
  689          179886    4  bank
  690          179760    3  pull
  691          179718    4  trip
  692          179574    3  beat
  693          178671    4  list
  694          178392    4  brain
  695          178047    4  fix
  696          177927    4  proud
  697          176814    3  date
  698          176139    4  park
  699          175524    3  fall
  700          175287    4  dress
  701          173754    3  song
  702          171502    3  road
  703          171276    3  calm
  704          170732    3  mad
  705          169977    4  card
  706          169872    3  learn
  707          169672    3  early
  708          169197    4  smell
  709          168448    3  piece
  710          167994    4  often
  711          167358    3  throw
  712          166590    3  feet
  713          166116    4  mama
  714          165237    4  prove
  715          165118    3  worth
  716          164380    3  dude
  717          160630    3  none
  718          160356    4  neither
  720          158202    4  carry
  721          158040    3  act
  722          157671    4  green
  723          156720    4  cute
  724          156525    4  evil
  725          154743    4  huge
  726          154497    4  holy
  727          154479    2  though
  728          154476    4  store
  729          154394    3  choice
  730          153996    4  lawyer
  732          153598    3  pain
  733          153270    3  pass
  734          151552    3  wake
  735          149580    3  kiss
  736          148448    3  ship
  737          148120    3  caught
  738          147604    3  sell
  739          146140    3  ride
  740          145466    3  mouth
  741          141910    3  wear
  742          140078    2  high
  743          139593    2  wow
  744          138372    3  bag
  745          137678    3  blue
  746          137580    3  near
  747          136564    2  whoa
  748          136276    2  bye
  749          136137    2  buy
  750          134722    3  rock
  751          133052    3  paid
  752          132036    3  ring
  753          131512    3  lead
  754          131504    3  bought
  755          130948    3  fair
  756          130896    3  sun
  757          130864    3  fool
  758          128912    3  join
  759          128704    3  fear
  760          128524    3  peace
  762          125444    3  honor
  764          124650    3  ball
  765          124296    3  boat
  766          123854    3  bar
  767          123626    3  fish
  768          122742    3  fell
  769          121876    3  deep
  770          120266    3  hide
  771          117354    3  soul
  772          117302    3  rich
  773          117062    3  blow
  774          116034    3  scene
  775          115084    3  mess
  776          114972    3  tough
  777          114508    3  church
  778          114358    3  sad
  779          114066    3  cell
  780          114026    2  ma
  781          113708    3  share
  782          113190    3  fly
  783          112920    3  laugh
  784          112782    2  hour
  785          112562    3  mum
  786          111500    3  third
  787          110672    3  judge
  788          110262    3  dare
  790          109626    3  wall
  791          109230    3  seat
  792          108192    3  art
  793          107974    2  ha
  794          107348    3  cry
  796          105654    3  sake
  797          105462    3  teach
  798          105009    2  ass
  799          103456    3  joke
  800          103402    3  cop
  801          102858    3  jail
  802          102607    2  hmm
  803          102574    3  doubt
  804          102350    3  cat
  805          101952    3  shop
  806          100137    2  air
  807           95930    2  lie
  808           78264    2  law
  809           76658    2  ya
  810           74262    2  age
  813           62153    2  key
# 814           61400    2  eight # typed via number-mode finger-first-mod gesture
  815           60812    2  sea
  816           59277    2  tea
  817           57545    2  ice
